Receipt no,Location,Customer name,Session id,Sale date,Status,Ordertype name,Token number,Product name,Product Category,Cost Per Unit,Selling Per Unit,Quantity
LN17,Hyderabad,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN17,Hyderabad,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN17,Hyderabad,Rajiv,28,06/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN17,Bangalore,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN17,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN17,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN17,Chennai,Ganesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN17,Hyderabad,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN18,Bangalore,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN18,Chennai,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN18,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,2
LN19,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN19,Hyderabad,Ganesh,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN19,Chennai,Kumar,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN20,Hyderabad,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN20,Chennai,Sunil,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN20,Hyderabad,Naga,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN21,Bangalore,Rajiv,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN22,Bangalore,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,3
LN22,Hyderabad,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,2
LN23,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN23,Bangalore,Ganesh,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN24,Hyderabad,Kumar,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN24,Chennai,Vijay,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN24,Hyderabad,Sunil,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN25,Bangalore,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,3
LN26,Chennai,Mahesh,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN26,Bangalore,Ganesh,28,06/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN27,Bangalore,Kumar,28,06/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN27,Bangalore,Vijay,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN27,Chennai,Sunil,28,06/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN28,Chennai,Naga,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN29,Hyderabad,Rajiv,28,06/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL17,Chennai,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL18,Bangalore,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL18,Bangalore,Mahesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL19,Hyderabad,Ganesh,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL19,Hyderabad,Kumar,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN30,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL20,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL20,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL20,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL20,Bangalore,Ganesh,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL21,Bangalore,Kumar,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL21,Bangalore,Vijay,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL21,Chennai,Sunil,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL22,Bangalore,Naga,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL22,Chennai,Rajiv,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL22,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL23,Bangalore,Naga,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL24,Chennai,Mahesh,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL24,Chennai,Ganesh,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL24,Chennai,Kumar,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL24,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL25,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL25,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL26,Bangalore,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL26,Bangalore,Ganesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL26,Chennai,Kumar,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL27,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,2
BL27,Chennai,Sunil,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL28,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL28,Bangalore,Rajiv,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL28,Chennai,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL29,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL29,Chennai,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL30,Bangalore,Ganesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL31,Chennai,Kumar,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL32,Hyderabad,Vijay,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL33,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL33,Chennai,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL33,Bangalore,Mahesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL34,Hyderabad,Ganesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL34,Chennai,Kumar,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL34,Hyderabad,Vijay,28,07/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL35,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL36,Chennai,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL36,Chennai,Rajiv,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL37,Chennai,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL37,Chennai,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL37,Bangalore,Mahesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL38,Hyderabad,Ganesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,2
BL39,Bangalore,Kumar,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL39,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL40,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL41,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,2
LN31,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
LN31,Bangalore,Ganesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN32,Bangalore,Kumar,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN32,Bangalore,Vijay,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN33,Chennai,Sunil,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
LN33,Bangalore,Naga,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
LN34,Bangalore,Rajiv,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,2
LN35,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN36,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN37,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
LN38,Bangalore,Ganesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN39,Bangalore,Kumar,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
LN39,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN39,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
LN39,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
LN40,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
LN40,Chennai,Ganesh,28,07/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,2
LN40,Hyderabad,Kumar,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN41,Chennai,Vijay,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN42,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN43,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN24,Bangalore,Rajiv,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN25,Hyderabad,Mahesh,28,07/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,3
LN26,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN26,Bangalore,Mahesh,28,07/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
LN27,Chennai,Ganesh,28,07/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
LN27,Bangalore,Kumar,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN27,Hyderabad,Vijay,28,07/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
LN28,Bangalore,Sunil,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
LN29,Hyderabad,Naga,28,07/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL42,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL42,Hyderabad,Ganesh,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL43,Chennai,Kumar,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL44,Bangalore,Vijay,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL45,Hyderabad,Sunil,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,700,900,1
BL45,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL45,Bangalore,Rajiv,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,600,800,1
BL45,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL46,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,600,800,1
BL46,Hyderabad,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL46,Chennai,Ganesh,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL46,Hyderabad,Kumar,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,600,800,1
BL47,Chennai,Vijay,28,08/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL47,Bangalore,Sunil,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL47,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL47,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL47,Hyderabad,Ganesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL48,Chennai,Kumar,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,2
BL48,Bangalore,Vijay,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL49,Hyderabad,Sunil,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL49,Hyderabad,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL49,Hyderabad,Rajiv,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL49,Hyderabad,Mahesh,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,700,900,1
BL50,Bangalore,Naga,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL50,Hyderabad,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL50,Bangalore,Ganesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL50,Chennai,Kumar,28,08/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL51,Chennai,Vijay,28,08/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL51,Hyderabad,Sunil,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL52,Hyderabad,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL52,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL53,Bangalore,Ganesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL53,Hyderabad,Kumar,28,08/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL53,Chennai,Vijay,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL53,Bangalore,Sunil,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,700,900,1
BL54,Hyderabad,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,600,800,1
BL54,Bangalore,Rajiv,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL55,Bangalore,Mahesh,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL56,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL57,Bangalore,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL58,Hyderabad,Ganesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL58,Hyderabad,Kumar,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL59,Chennai,Vijay,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL59,Bangalore,Sunil,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL60,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL61,Hyderabad,Mahesh,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL62,Bangalore,Ganesh,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL63,Bangalore,Kumar,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL64,Hyderabad,Vijay,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL64,Hyderabad,Sunil,28,08/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL65,Bangalore,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL65,Bangalore,Rajiv,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL66,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL66,Bangalore,Naga,28,08/03/2020,Ordered,On Shop,0,Wallet,Accessories,300,500,1
BL66,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL67,Hyderabad,Ganesh,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL68,Chennai,Kumar,28,08/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
BL68,Bangalore,Vijay,28,08/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
BL69,Chennai,Sunil,28,08/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL69,Bangalore,Naga,28,08/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
BL70,Chennai,Mahesh,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL70,Bangalore,Ganesh,28,08/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
BL70,Hyderabad,Kumar,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL71,Bangalore,Vijay,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL71,Chennai,Sunil,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL72,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL73,Bangalore,Rajiv,28,08/03/2020,Ordered,On Shop,0,Jeans  Levis,Casual Wear,900,1100,1
BL74,Bangalore,Mahesh,28,08/03/2020,Ordered,On Shop,0,shirt,Formal,650,850,1
BL74,Bangalore,Naga,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL74,Bangalore,Mahesh,28,08/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL75,Bangalore,Ganesh,28,08/03/2020,Ordered,On Shop,0,Shirt  PE,Semi Formal,600,800,1
BL75,Bangalore,Kumar,28,08/03/2020,Ordered,On Shop,0,Shirt  Arrow,Formal,1000,1200,1
BL75,Chennai,Vijay,28,08/03/2020,Ordered,On Shop,0,Jeans  Lega,Casual Wear,800,1000,1
BL76,Bangalore,Sunil,28,08/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
BL76,Chennai,Naga,28,08/03/2020,Ordered,On Shop,0,Jeans  Zara,Casual Wear,700,900,1
BL77,Chennai,Mahesh,28,09/03/2020,Ordered,On Shop,0,Tshirt,Semi Formal,400,600,1
BL78,Chennai,Ganesh,28,09/03/2020,Ordered,On Shop,0,Jeans  Denim,Casual Wear,700,900,1
BL79,Hyderabad,Kumar,28,09/03/2020,Ordered,On Shop,0,Chain,Accessories,400,600,1
